価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
298,24.95,北海道札幌市中央区南二条西１３,2.7,地下鉄東西線「西１１丁目」徒歩8分,ワンルーム,1980/8,1,0,0,8,,,
298,37.16,北海道札幌市南区定山渓温泉西２,7.23,地下鉄南北線「真駒内」バス40分停歩4分,1K,1991/7,1,0,0,,40,4,
298,53.76,北海道札幌市中央区南三十条西１１,7.26,札幌市電「石山通」徒歩17分,2LDK,1981/9,0,1,0,17,,,
300,45.5,北海道札幌市南区真駒内曙町１-１－３,-,地下鉄南北線「自衛隊前」徒歩29分,2LDK,1969/6,1,0,0,29,,,
300,29.97,北海道札幌市白石区南郷通１丁目北１０－３,-,地下鉄東西線「白石」徒歩5分,1LDK,1980/11,1,0,0,5,,,
300,46.94,北海道札幌市中央区南二十九条西１１,-,地下鉄東西線「西１１丁目」バス19分停歩3分,2LDK,1978/11,1,0,0,,19,3,
319,32.17,北海道札幌市南区定山渓温泉西１-９,3.6,じょうてつバス「定山渓大橋」徒歩5分,ワンルーム,1992/9,0,0,0,5,,,
320,19.4,北海道札幌市中央区南十四条西１-１－１７,-,地下鉄南北線「幌平橋」徒歩3分,ワンルーム,1979/8,1,0,0,3,,,
320,24.62,北海道札幌市中央区大通西１８,2.02,地下鉄東西線「西１８丁目」徒歩1分,1K,1979/5,1,0,0,1,,,
330,68.75,北海道札幌市西区西野二条３,5.76,地下鉄東西線「発寒南」徒歩10分,3LDK,1971/7,1,0,0,10,,,
330,18.42,北海道札幌市中央区大通西２２,2.98,地下鉄東西線「円山公園」徒歩4分,ワンルーム,1979/10,1,0,0,4,,,
333,40.11,北海道札幌市北区新琴似八条１５-5-10,-,地下鉄南北線「麻生」バス9分停歩2分,2LDK,1973/6,1,0,0,,9,2,
350,21.32,北海道札幌市厚別区厚別中央二条１,-,地下鉄東西線「大谷地」徒歩5分,ワンルーム,1991/3,1,0,0,5,,,
350,18.6,北海道札幌市西区琴似二条６-１－３５,5.94,地下鉄東西線「琴似」徒歩4分,ワンルーム,1981/10,1,0,0,4,,,
350,51,北海道札幌市豊平区月寒西四条５,-,地下鉄東豊線「月寒中央」徒歩10分,2LDK,1984/8,1,0,0,10,,,
350,57.42,北海道札幌市南区澄川五条１３,2.7,地下鉄南北線「自衛隊前」バス10分停歩5分,3LDK,1977/3,1,0,0,,10,5,
350,45.5,北海道札幌市西区西野三条５,-,地下鉄東西線「発寒南」バス6分停歩2分,3DK,1970/11,1,0,0,,6,2,
350,33.3,北海道札幌市中央区南二十三条西９,2.86,札幌市電「東屯田通」徒歩3分,ワンルーム,1990/12,0,1,0,3,,,
350,21.45,北海道札幌市豊平区平岸四条１３,0.92,地下鉄南北線「南平岸」徒歩1分,1DK,1979/5,1,0,0,1,,,
360,22.7,北海道札幌市北区北二十四条西６,-,地下鉄南北線「北２４条」徒歩5分,ワンルーム,1973/8,1,0,0,5,,,
360,91.62,北海道札幌市南区定山渓温泉西２-４５－１,13.31,ＪＲ函館本線「札幌」バス60分停歩4分,2LDK,1992/4,0,0,1,,60,4,
360,54.87,北海道札幌市白石区菊水九条３,-,地下鉄東西線「東札幌」徒歩13分,3LDK,1974/3,1,0,0,13,,,
360,85.22,北海道札幌市南区定山渓温泉西２,13.31,地下鉄南北線「真駒内」バス40分停歩4分,2LDK,1992/4,1,0,0,,40,4,
360,28.83,北海道札幌市豊平区平岸二条１８-1-30,3.88,地下鉄南北線「澄川」徒歩6分,1DK,1982/5,1,0,0,6,,,
360,19.5,北海道札幌市北区北二十三条西４,4.05,地下鉄南北線「北２４条」徒歩1分,1DK,1982/3,1,0,0,1,,,
370,27,北海道札幌市中央区南十六条西５-３－１,4.86,地下鉄南北線「幌平橋」徒歩3分,ワンルーム,1978/4,1,0,0,3,,,
370,47.94,北海道札幌市豊平区旭町１,3.9,地下鉄東豊線「学園前」徒歩7分,3DK,1974/10,1,0,0,7,,,
375,17.25,北海道札幌市中央区大通西１９-１－３２８,-,地下鉄東西線「西１８丁目」徒歩2分,1K,1989/7,1,0,0,2,,,
